legId,isNonStop,totalFare,segmentsDepartureAirportCode,segmentsArrivalAirportCode,segmentsAirlineName,segmentsDepartureWeekday,segmentsDepartureTimeOfDay,segmentsArrivalWeekday,segmentsArrivalTimeOfDay,startingAirport,destinationAirport
bf1fd4c3ebbbd064fccf27ecda7142f8,false,212.6,JFK||MIA,MIA||ATL,American Airlines||American Airlines,3||3,17:30||21:30,3||3,20:30||23:30,JFK,ATL
dd448824ab62be780d0cebaa22a2438c,true,263.6,EWR,DEN,United,5,12:15,5,16:30,EWR,DEN
6c9e0b67eca59e548da5c4fefebc68d9,true,118.6,JFK,MIA,JetBlue Airways,1,15:30,1,18:30,JFK,MIA
a25948c5abc929fe976e15c66a936b69,false,447.2,OAK||SEA,SEA||DEN,Alaska Airlines||United,4||4,14:00||21:15,4||5,16:00||00:00,OAK,DEN
ad29c596ca6bc8cac372f5cfb2c5c8cb,true,244.35,BOS,DTW,American Airlines,5,14:15,5,16:15,BOS,DTW
ea977c210f1bdc323d4fad8bf730c6fa,false,405.58,ATL||ORD,ORD||OAK,Spirit Airlines||Spirit Airlines,5||6,18:45||02:45,5||6,21:00||07:15,ATL,OAK
fb431e882dbe1538eb6dbfb4201e9a23,false,338.6,DTW||ORD,ORD||DEN,United||United,3||4,22:00||02:15,3||4,23:15||05:00,DTW,DEN
039395259f55a69f285df400e8e83905,true,342.6,LAX,ORD,United,2,14:00,2,18:15,LAX,ORD
3bcfc2575e47826b3ef6e99069286864,true,273.6,BOS,MIA,JetBlue Airways,6,15:15,6,18:45,BOS,MIA
8fed836738121c01415af83b5a80e62e,false,517.1,PHL||DTW||PHX,DTW||PHX||SFO,Delta||Delta||Alaska Airlines,3||3||3,14:00||16:45||23:00,3||3||4,15:45||20:45||01:00,PHL,SFO
d0d401fc563bf45458cbbdb85075c6da,true,488.6,LAX,EWR,United,3,23:30,4,05:00,LAX,EWR
cb82775a3e8624c93c4c9f2762c61bb4,true,133.6,BOS,LGA,JetBlue Airways,4,11:00,4,12:15,BOS,LGA
6580853368984087a4f79ac6aa525550,false,443.6,JFK||SFO,SFO||LAX,Alaska Airlines||Alaska Airlines,7||7,11:30||21:30,7||7,17:45||23:00,JFK,LAX
bc9e00b304e4601938d3e39bb0922edb,false,308.6,LAX||IAH,IAH||MIA,United||United,6||6,19:00||23:45,6||7,22:30||02:15,LAX,MIA
98f544be136a536c6e14677f8a671b91,false,298.6,PHL||ORF,ORF||CLT,American Airlines||American Airlines,2||2,14:00||17:15,2||2,15:00||18:45,PHL,CLT
87bbca22934aadf03bc984239dd70295,false,505.6,LGA||ORF,ORF||IAD,Delta||United,6||7,20:30||00:00,6||7,22:00||01:00,LGA,IAD
8953fdf215660166573f43c62d6f763b,true,498.6,MIA,SFO,American Airlines,7,20:45,1,03:00,MIA,SFO
4b6f21f3d36ac235654695452916f159,true,218.6,ATL,EWR,Delta,6,02:45,6,04:45,ATL,EWR
a5dfaa2974afe793099acacee6d3df24,true,518.59,IAD,LAX,United,1,13:00,1,18:30,IAD,LAX
1591796490edc263a57ddf1203ea3a58,false,326.58,ATL||MSY,MSY||DTW,Spirit Airlines||Spirit Airlines,6||6,12:15||18:00,6||6,13:45||20:45,ATL,DTW
d2446a6917d6d47f96aaa24c8e062b5d,true,52.49,CLT,TTN,Frontier Airlines,7,13:45,7,15:30,CLT,TTN
abd4740de4cd91fb2990cef4cd57193c,true,408.6,LGA,CLT,JetBlue Airways,6,10:00,6,12:00,LGA,CLT
76e80fced472ee12eae0a58dfb3f0e5d,false,187.6,LGA||DCA,DCA||ATL,American Airlines||American Airlines,1||1,15:00||18:00,1||1,16:15||20:00,LGA,ATL
d742f6c3aadedf1e756b69bf0e263f04,false,490.69,OAK||PDX||SMF,PDX||SMF||LAX,Alaska Airlines||Alaska Airlines||United,1||1||2,14:00||16:15||00:45,1||1||2,15:30||17:45||02:30,OAK,LAX
eca01ab96212162b9d86386e0351c17c,false,491.61,ATL||RDU,RDU||EWR,Delta||Delta,4||4,11:15||16:15,4||4,12:45||18:15,ATL,EWR
3bce484e10662f2208fee07b1b0daa81,false,481.6,LAX||SEA,SEA||DTW,Alaska Airlines||Alaska Airlines,6||6,01:45||05:45,6||6,04:30||10:00,LAX,DTW
ffc05226e08db8318975e855d7f092b7,false,354.6,EWR||ORD,ORD||DEN,American Airlines||American Airlines,4||4,18:00||22:15,4||5,20:30||00:45,EWR,DEN
057504b870d4d007a5da5f030f3f154c,false,565.6,DEN||MCO,MCO||JFK,United||Delta,3||4,19:45||00:30,3||4,23:30||03:30,DEN,JFK
6c1ba2414287edb47673416f62a56665,true,224.6,DEN,BOS,JetBlue Airways,4,23:30,5,03:15,DEN,BOS
eed49c81b8bec6f017f29bd4f5b257f9,true,183.6,IAD,ORD,United,3,12:45,3,14:45,IAD,ORD
16f77419c14ca2294f1efdb34b0e3717,false,160.1,CLT||JAX,JAX||MIA,American Airlines||American Airlines,2||2,18:45||22:15,2||2,20:00||23:30,CLT,MIA
26265c6a8106bb5f2de38d35ae6127ce,false,564.61,LAX||JFK,JFK||CLT,JetBlue Airways||JetBlue Airways,5||5,05:30||12:15,5||5,11:00||14:15,LAX,CLT
660e27ff30c4ba2f11bb4ba0c9724077,true,168.61,DFW,ATL,Delta,6,23:45,7,02:00,DFW,ATL
01270e5fcec5b6a7136088c9d84ff17c,false,247.6,BOS||AUS,AUS||DFW,American Airlines||American Airlines,5||5,15:45||22:45,5||5,20:15||23:45,BOS,DFW
b2f13a6573609e8d72a0c276b613ecd1,false,150.71,JFK||RDU||BOS,RDU||BOS||DTW,JetBlue Airways||JetBlue Airways||JetBlue Airways,2||2||2,02:00||10:15||14:45,2||2||2,03:45||12:00||17:00,JFK,DTW
2bb0647e81588a8470e6357877e55a2d,true,325.6,LAX,PHL,American Airlines,3,18:15,3,23:30,LAX,PHL
d004950e9baf87b448c773c76d7ab9c8,true,278.6,ATL,BOS,Delta,5,15:45,5,18:15,ATL,BOS
4bbb46b3555f37e0d64f894ce0831538,true,158.6,LAX,JFK,JetBlue Airways,3,18:15,3,23:30,LAX,JFK
149d52f24ecc3f1c281bfcfa4dc0ae13,false,568.6,LAX||SEA,SEA||ORD,Alaska Airlines||Alaska Airlines,7||7,02:45||07:00,7||7,05:45||10:45,LAX,ORD
1096185259fa7bbc38f84cea34d7af4a,true,142.6,DFW,BOS,JetBlue Airways,3,17:00,3,20:45,DFW,BOS
4dbf355b8a629b25cdf971b221968773,false,175.61,DFW||PHL,PHL||BOS,American Airlines||American Airlines,3||3,13:00||18:45,3||3,16:00||20:15,DFW,BOS
fcf7517280b53fd60eea28e071dedb2f,true,373.6,MIA,SFO,American Airlines,1,00:30,1,06:30,MIA,SFO
b421d586053c92605392b33bf26bcf88,false,402.71,SFO||AUS||IAH,AUS||IAH||CLT,United||United||United,4||4||4,01:45||10:30||12:15,4||4||4,05:15||11:30||15:00,SFO,CLT
69ab6e0e6ba8f9bac33abde143f0f129,false,567.21,JFK||PIT,PIT||DEN,Delta||United,6||6,13:00||20:30,6||7,14:45||00:00,JFK,DEN
ad9c56eafe52fe19a37c1cb8d7c1be8e,false,351.62,BOS||JFK,JFK||ONT,JetBlue Airways||JetBlue Airways,7||7,15:15||20:00,7||1,16:30||02:00,BOS,ONT
00aedc3c32374ba237eb3e1d734e7091,true,478.59,DEN,BOS,JetBlue Airways,7,23:30,1,03:30,DEN,BOS
8786b882954e96af6a4e8fbd2e8158a5,false,387.0,SFO||JAC,JAC||DEN,Alaska Airlines||United,5||6,18:30||00:00,5||6,20:30||01:45,SFO,DEN
872bdf85ad5aceecf9402dc2034e02ad,false,500.26,JFK||SFO,SFO||LAX,Alaska Airlines||Alaska Airlines,7||1,17:00||02:00,7||1,23:15||03:30,JFK,LAX
d45f01b4c7f88b90f19bace34b69b2b7,false,132.61,PHL||ORD,ORD||DEN,American Airlines||American Airlines,6||7,22:30||01:45,7||7,00:45||04:15,PHL,DEN
81d265f4205e5cbc8bf3917b7727a014,false,622.2,DEN||EWR,EWR||PHL,United||United,2||2,06:00||16:15,2||2,09:30||17:00,DEN,PHL
ce65e81a62946876fd9d25211b46d7d4,false,379.58,ATL||MCO,MCO||DFW,Spirit Airlines||Spirit Airlines,1||1,14:45||17:45,1||1,16:15||20:30,ATL,DFW
87f68871ab61e0cad9c2c02873be926c,true,298.6,LGA,DTW,JetBlue Airways,7,23:45,1,01:45,LGA,DTW
4c142ad86c47cd942a01704dd6e01288,false,83.99,OAK||LAS,LAS||DFW,Frontier Airlines||Frontier Airlines,4||4,17:00||21:45,4||5,18:30||00:45,OAK,DFW
4b2d64b79ca0c5a8837c812ccaf215cd,false,1084.11,MIA||DFW||SEA,DFW||SEA||OAK,Alaska Airlines||Alaska Airlines||Alaska Airlines,4||4||5,12:30||19:30||01:30,4||4||5,15:30||23:45||03:30,MIA,OAK
691762d2c0ccfa0b8e223b34690e14ad,false,112.1,ATL||CLT,CLT||BOS,American Airlines||American Airlines,2||3,00:00||02:30,3||3,01:15||04:45,ATL,BOS
9df9c19d7fc6e006bf6b95e83500e2ff,false,643.7,BOS||LAX||SEA,LAX||SEA||OAK,United||Alaska Airlines||Alaska Airlines,1||1||2,13:15||21:30||05:00,1||2||2,20:00||00:30||07:00,BOS,OAK
ee3751201bdb4dd8dcdfdbe0f6ce2add,true,518.6,LAX,JFK,American Airlines,7,19:30,1,01:00,LAX,JFK
c405bdc63ba1bb1cf5af21665ab5b17a,false,232.61,SFO||BOS,BOS||MIA,JetBlue Airways||JetBlue Airways,7||7,06:15||13:15,7||7,11:45||16:45,SFO,MIA
85985091d05224a08ffcab37b016746c,false,337.1,CLT||DTW,DTW||LAX,Delta||Delta,2||2,13:30||17:00,2||2,15:30||21:45,CLT,LAX
5a698b37b752d3b8e49360eb77ac02f6,false,317.6,EWR||CLE,CLE||DEN,United||United,1||1,14:30||17:30,1||1,16:15||20:45,EWR,DEN
4ded96c3c4891e8d4187ebc1167b1202,false,761.6,ATL||SEA,SEA||OAK,Alaska Airlines||Alaska Airlines,4||4,12:00||18:45,4||4,17:30||20:45,ATL,OAK
6ef3f57868f31ccd2b498db47ec361b0,true,138.6,MIA,BOS,American Airlines,4,22:45,5,02:00,MIA,BOS
29c2e39df8bf087ad28703390e5938d9,true,308.6,LAX,ATL,Delta,5,23:00,6,03:15,LAX,ATL
b6bb73285019ea404a54449d3ce597be,false,92.6,ATL||DCA,DCA||LGA,American Airlines||American Airlines,2||2,11:15||16:00,2||2,13:00||17:00,ATL,LGA
fffb7763db8c1173459fef5c4ff6110b,false,547.1,JFK||RDU||IAH,RDU||IAH||DFW,Delta||United||United,6||6||7,17:45||20:45||01:00,6||6||7,19:45||23:45||02:15,JFK,DFW
4fc2c55737b467da7c5125dfcb875317,false,242.2,EWR||PHX,PHX||LAX,United||United,5||5,00:30||13:15,5||5,05:45||14:30,EWR,LAX
31064ff06662b95203f5308b4806e1bb,false,391.61,OAK||SEA,SEA||LAX,Alaska Airlines||United,5||5,18:00||21:45,5||6,20:00||00:30,OAK,LAX
964a0b33b34c276316192265df353523,true,248.6,IAD,EWR,United,5,21:00,5,22:30,IAD,EWR
dea595b89bb9fb2ff38e9f24a5575691,false,245.58,DTW||MYR,MYR||BOS,Spirit Airlines||Spirit Airlines,6||6,14:30||18:30,6||6,16:30||20:30,DTW,BOS
